X,Y,Prediction,Method
37,78,0.10658030211925507,DNN
55,60,0.15460743010044098,DNN
58,59,0.131068155169487,DNN
50,80,0.12447179108858109,DNN
66,32,0.11820630729198456,DNN
65,38,0.11264877021312714,DNN
72,59,0.22511713206768036,DNN
56,61,0.14423896372318268,DNN
53,59,0.1597171425819397,DNN
90,32,0.09463747590780258,DNN
6,88,0.8491600751876831,DNN
65,34,0.12419433146715164,DNN
50,64,0.17393656075000763,DNN
45,64,0.14974893629550934,DNN
68,32,0.11576109379529953,DNN
68,33,0.11692915856838226,DNN
71,35,0.0919533222913742,DNN
52,57,0.1587727665901184,DNN
51,77,0.07394920289516449,DNN
52,66,0.17015396058559418,DNN
56,62,0.14057596027851105,DNN
93,29,0.0945471003651619,DNN
70,38,0.1012597531080246,DNN
81,43,0.17931291460990906,DNN
64,40,0.1220274344086647,DNN
77,41,0.10433399677276611,DNN
73,63,0.017516005784273148,DNN
79,26,0.10730165243148804,DNN
84,35,0.16221368312835693,DNN
45,86,0.35491880774497986,DNN
95,24,0.1448054164648056,DNN
49,53,0.2151406854391098,DNN
58,62,0.1322428286075592,DNN
54,66,0.14961670339107513,DNN
83,28,0.0804203599691391,DNN
68,68,0.10041670501232147,DNN
79,12,0.2700529396533966,DNN
74,10,0.1795327514410019,DNN
91,26,0.07688353955745697,DNN
59,31,0.16106432676315308,DNN
46,80,0.14038588106632233,DNN
65,37,0.1214279755949974,DNN
95,29,0.10511937737464905,DNN
70,12,0.3216642141342163,DNN
78,50,0.052503012120723724,DNN
77,34,0.14147555828094482,DNN
89,30,0.07710012048482895,DNN
59,98,0.06890760362148285,DNN
61,32,0.15031836926937103,DNN
56,97,0.07970666140317917,DNN
53,73,0.1415398269891739,DNN
87,26,0.07725265622138977,DNN
78,45,0.1014452874660492,DNN
61,74,0.1216675266623497,DNN
63,30,0.125360906124115,DNN
40,67,0.175052210688591,DNN
57,58,0.1453559845685959,DNN
44,62,0.15739741921424866,DNN
46,43,0.20146767795085907,DNN
56,41,0.17097435891628265,DNN
58,86,0.10992079228162766,DNN
77,39,0.13532182574272156,DNN
61,72,0.13441483676433563,DNN
86,29,0.07068724185228348,DNN
66,66,0.11812084913253784,DNN
65,26,0.14314863085746765,DNN
54,68,0.17378462851047516,DNN
71,42,0.10365767776966095,DNN
64,41,0.14820121228694916,DNN
80,30,0.08110234886407852,DNN
85,35,0.16383521258831024,DNN
56,56,0.14435802400112152,DNN
53,55,0.16117362678050995,DNN
74,48,0.08531001955270767,DNN
65,32,0.12308961898088455,DNN
60,36,0.13744623959064484,DNN
50,70,0.08051402866840363,DNN
57,31,0.17123399674892426,DNN
55,94,0.09158997982740402,DNN
65,69,0.12149322032928467,DNN
71,77,0.08309033513069153,DNN
66,50,0.12876829504966736,DNN
55,78,0.10873381793498993,DNN
44,76,0.10064177960157394,DNN
76,39,0.12889358401298523,DNN
39,63,0.17902772128582,DNN
81,36,0.16056057810783386,DNN
74,13,0.153070330619812,DNN
52,55,0.18554696440696716,DNN
72,73,0.08302547037601471,DNN
68,31,0.11801055818796158,DNN
77,55,0.17809313535690308,DNN
56,42,0.15342596173286438,DNN
70,51,0.1073557436466217,DNN
59,40,0.1381029188632965,DNN
58,35,0.16766351461410522,DNN
64,70,0.1252085417509079,DNN
70,52,0.09276371449232101,DNN
44,68,0.15692859888076782,DNN
64,83,0.08250193297863007,DNN
85,25,0.08517634868621826,DNN
70,73,0.08697005361318588,DNN
43,65,0.1598111242055893,DNN
82,22,0.15740413963794708,DNN
72,75,0.0771617442369461,DNN
70,36,0.09768515825271606,DNN
94,25,0.11054269969463348,DNN
72,26,0.12310396134853363,DNN
66,30,0.12796559929847717,DNN
50,53,0.19882623851299286,DNN
51,67,0.20975925028324127,DNN
76,46,0.07204247266054153,DNN
77,37,0.1242721825838089,DNN
44,84,0.20699961483478546,DNN
84,23,0.10680530965328217,DNN
63,55,0.1175345852971077,DNN
50,77,0.08992329984903336,DNN
63,42,0.1420004814863205,DNN
67,23,0.2481890767812729,DNN
80,16,0.3638971447944641,DNN
43,61,0.15819142758846283,DNN
74,55,0.09200349450111389,DNN
71,21,0.2492021769285202,DNN
78,28,0.09964936971664429,DNN
63,64,0.13384228944778442,DNN
71,31,0.11793594062328339,DNN
42,72,0.10654307156801224,DNN
