"X","Y","Prediction","Method"
59,28,0.555555555555556,"CART"
62,82,0.125,"CART"
47,35,0.25,"CART"
66,62,0,"CART"
86,26,0.111111111111111,"CART"
61,69,0.272727272727273,"CART"
38,87,0.153846153846154,"CART"
79,1,0.25,"CART"
39,64,0.363636363636364,"CART"
74,42,0.166666666666667,"CART"
54,79,0.375,"CART"
96,24,0.5,"CART"
61,83,0.1,"CART"
93,28,0,"CART"
57,93,0,"CART"
64,49,0.416666666666667,"CART"
39,73,0,"CART"
74,30,0,"CART"
84,42,0.0769230769230769,"CART"
46,61,0.222222222222222,"CART"
77,53,0,"CART"
74,7,0,"CART"
88,31,0.0555555555555556,"CART"
43,76,0,"CART"
80,17,0.133333333333333,"CART"
90,16,0.153846153846154,"CART"
64,98,0,"CART"
64,32,0,"CART"
76,42,0,"CART"
54,76,0,"CART"
69,67,0,"CART"
58,67,0,"CART"
77,64,0,"CART"
73,45,0,"CART"
39,72,0.363636363636364,"CART"
73,56,0.142857142857143,"CART"
70,66,0.214285714285714,"CART"
42,41,0.538461538461538,"CART"
31,71,0.941176470588235,"CART"
94,23,0,"CART"
47,61,0.384615384615385,"CART"
69,88,0,"CART"
51,84,0,"CART"
69,70,0,"CART"
43,79,0,"CART"
49,90,0.68421052631579,"CART"
52,54,0,"CART"
49,92,1,"CART"
65,64,0.214285714285714,"CART"
67,43,0.769230769230769,"CART"
65,61,0.444444444444444,"CART"
81,47,0.4,"CART"
76,64,0,"CART"
36,92,0.8,"CART"
28,96,1,"CART"
36,89,0.68421052631579,"CART"
77,10,0,"CART"
67,8,0.384615384615385,"CART"
54,58,0,"CART"
51,68,0,"CART"
61,28,0.555555555555556,"CART"
59,55,0.230769230769231,"CART"
61,39,0,"CART"
58,89,0.142857142857143,"CART"
59,38,0,"CART"
51,71,0,"CART"
37,82,0.285714285714286,"CART"
61,55,0.1875,"CART"
71,4,0.75,"CART"
40,86,0.153846153846154,"CART"
74,45,0,"CART"
72,77,0,"CART"
98,11,1,"CART"
62,12,0.111111111111111,"CART"
45,70,0,"CART"
63,77,0,"CART"
71,15,0,"CART"
62,28,0.555555555555556,"CART"
68,34,0,"CART"
55,87,0,"CART"
64,42,0.0555555555555556,"CART"
45,44,0.538461538461538,"CART"
56,95,0.375,"CART"
78,47,0,"CART"
37,88,0.153846153846154,"CART"
65,89,0.142857142857143,"CART"
77,52,0.142857142857143,"CART"
91,27,0,"CART"
