"Longitude","Latitude","Prediction","Method"
-67.144107,18.216038,0.951997935771942,"DNN"
-158.088613,21.323745,0.986667633056641,"DNN"
-80.111152,26.087567,0.210869580507278,"DNN"
-97.712684,26.200335,0.76642519235611,"DNN"
-81.710959,26.270083,0.138881236314774,"DNN"
-80.219619,26.687606,0.519506573677063,"DNN"
-80.240689,27.172458,0.116933353245258,"DNN"
-82.54593,27.633089,0.51859700679779,"DNN"
-82.000084,27.939746,0.0810362622141838,"DNN"
-80.628611,28.053611,0.0356154665350914,"DNN"
-81.3625,28.596389,0.0927103385329246,"DNN"
-81.310556,28.746111,0.0155807947739959,"DNN"
-82.100646,29.170533,0.0165487378835678,"DNN"
-94.861289,29.254474,0.364886432886124,"DNN"
-103.17781,29.30265,0.0878298953175545,"DNN"
-98.564936,29.632058,0.128323704004288,"DNN"
-95.128508,29.670025,0.389315187931061,"DNN"
-95.635833,29.723333,0.509016752243042,"DNN"
-93.894081,29.727931,0.410062193870544,"DNN"
-95.220582,29.767997,0.381061375141144,"DNN"
-95.125495,29.802707,0.506216406822205,"DNN"
-95.284096,29.828086,0.568513691425323,"DNN"
-94.317802,29.863957,0.241848886013031,"DNN"
-94.000556,29.9425,0.624717950820923,"DNN"
-91.869595,30.088872,0.037868220359087,"DNN"
-82.619167,30.178056,0.0329570733010769,"DNN"
-82.441111,30.201111,0.26759871840477,"DNN"
-91.315418,30.221255,0.105964347720146,"DNN"
-90.965628,30.229653,0.266117960214615,"DNN"
-89.395916,30.300833,0.0740993544459343,"DNN"
-97.761803,30.354944,0.379149049520493,"DNN"
-87.880258,30.497478,0.338218569755554,"DNN"
-106.323578,31.785769,0.386091560125351,"DNN"
-106.683324,31.787885,6.48784998702467e-06,"DNN"
-106.584434,31.796218,0.00012432526273187,"DNN"
-106.631103,31.930659,0.0300185419619083,"DNN"
-84.08101,31.954286,0.159483134746552,"DNN"
-96.399141,32.031934,0.00933581218123436,"DNN"
-110.774357,32.04767,0.0109223732724786,"DNN"
-104.443447,32.178157,3.72166371749279e-15,"DNN"
-110.9823,32.29515,0.010519165545702,"DNN"
-106.768337,32.317593,5.29774808910588e-07,"DNN"
-90.182722,32.329111,0.118078708648682,"DNN"
-95.415754,32.344027,0.196164354681969,"DNN"
-104.262726,32.380118,0.00581932533532381,"DNN"
