"Longitude","Latitude","Prediction","Method"
-67.144107,18.216038,0.907894736842105,"CART"
-158.088613,21.323745,0.907894736842105,"CART"
-80.111152,26.087567,0.0492476060191518,"CART"
-97.712684,26.200335,0.709090909090909,"CART"
-81.710959,26.270083,0.0492476060191518,"CART"
-80.219619,26.687606,0.907894736842105,"CART"
-80.240689,27.172458,0.0492476060191518,"CART"
-82.54593,27.633089,0.103448275862069,"CART"
-82.000084,27.939746,0.0492476060191518,"CART"
-80.628611,28.053611,0.0492476060191518,"CART"
-81.3625,28.596389,0.0492476060191518,"CART"
-81.310556,28.746111,0.0492476060191518,"CART"
-82.100646,29.170533,0.0492476060191518,"CART"
-94.861289,29.254474,0.0492476060191518,"CART"
-103.17781,29.30265,0.0492476060191518,"CART"
-98.564936,29.632058,0.0492476060191518,"CART"
-95.128508,29.670025,0.709090909090909,"CART"
-95.635833,29.723333,0.709090909090909,"CART"
-93.894081,29.727931,0.0492476060191518,"CART"
-95.220582,29.767997,0.709090909090909,"CART"
-95.125495,29.802707,0.709090909090909,"CART"
-95.284096,29.828086,0.907894736842105,"CART"
-94.317802,29.863957,0.709090909090909,"CART"
-94.000556,29.9425,0.907894736842105,"CART"
-91.869595,30.088872,0.0492476060191518,"CART"
-82.619167,30.178056,0.0492476060191518,"CART"
-82.441111,30.201111,0.0492476060191518,"CART"
-91.315418,30.221255,0.0492476060191518,"CART"
-90.965628,30.229653,0.709090909090909,"CART"
-89.395916,30.300833,0.0492476060191518,"CART"
-97.761803,30.354944,0.0492476060191518,"CART"
-87.880258,30.497478,0.709090909090909,"CART"
-106.323578,31.785769,0.0492476060191518,"CART"
-106.683324,31.787885,0.0492476060191518,"CART"
-106.584434,31.796218,0.0492476060191518,"CART"
-106.631103,31.930659,0.0492476060191518,"CART"
-84.08101,31.954286,0.0492476060191518,"CART"
-96.399141,32.031934,0.0492476060191518,"CART"
-110.774357,32.04767,0.0492476060191518,"CART"
-104.443447,32.178157,0.0492476060191518,"CART"
-110.9823,32.29515,0.0492476060191518,"CART"
